"","species","duration","peak","peak2","peak3","trough","trough2","peakToPeak2","peakToPeak3","peak2ToPeak3","Q_10dB","Q_3dB","centerHz_10dB","centerHz_3dB","fmin_10dB","fmax_10dB","fmin_3dB","fmax_3dB","BW_10dB","BW_3dB","ici"
"23","Narwhal",28,28,34.86,31.77,35.54,20.74,11.03,16.06,8.34,3.08,9.33,29.16,28.11,23.97,34.35,26.58,29.64,10.39,3.06,0.26
"24","Narwhal",42.79,42.79,40.22,50.3,47.73,42.24,18.16,17.02,24.03,5.3,23.69,46.45,45.28,35.57,57.33,42.79,47.77,21.76,4.98,0.15
"25","Narwhal",44.71,44.71,50.68,43.18,51.49,38.93,17.91,16.35,21.67,3.8,14,44.7,44.6,29.68,59.72,40.08,49.12,30.05,9.04,0.1
"26","Narwhal",36.42,36.42,44.9,42.62,45.41,36.91,15.47,18.17,13.68,1.96,9.29,41.99,36.39,26,57.98,33.68,39.09,31.99,5.41,0.18
"27","Narwhal",44.78,44.78,51.45,45.62,52.38,41.96,19.43,14.74,16.73,4.46,20.15,43.41,41.4,31.23,55.6,38.7,44.11,24.37,5.41,0.15
"28","Narwhal",40.02,40.02,42.95,45.46,45.43,43.83,22.01,13.3,18.45,2.77,20.16,41.38,39.51,30.88,51.89,37.68,41.34,21.01,3.66,0.14
"29","Narwhal",45.85,45.85,40.35,48.56,44.14,49.14,22.73,14.43,20.46,2.57,9.94,46.66,45.36,35.54,57.78,42.12,48.6,22.23,6.48,0.14
"30","Narwhal",36.28,36.28,45.65,40.75,44.78,37.56,22.07,13.34,14.93,2.59,12.79,38.16,35.99,29.44,46.87,34,37.98,17.43,3.98,0.12
"31","Narwhal",44.14,44.14,48.29,47.31,46.54,43.11,16.34,16.2,14.29,3.45,13.83,43.49,44.62,33.33,53.64,42.1,47.15,20.31,5.05,0.11
"32","Narwhal",38,38,45.2,42.67,45.4,40.47,24,11.87,12.13,1.42,7.71,45.81,42.05,29.21,62.42,39.34,44.76,33.21,5.42,0.16
"33","Narwhal",38.69,38.69,42.8,48.2,44.51,41.03,22.69,15.63,19.91,2.53,26.57,42.42,40.98,31.92,52.92,39.85,42.12,21,2.27,0.25
"34","Beluga",56.72,56.72,64.75,61.16,66.28,54.81,17.19,17.46,20.94,4.57,25.71,61.67,59.02,46.32,77.01,54.56,63.47,30.69,8.92,0.11
"35","Beluga",69.16,69.16,67.34,66.53,75.29,58.34,18.66,15.95,22.98,4.29,32.83,69.99,70.96,48.28,91.71,65.16,76.76,43.43,11.61,0.18
"36","Beluga",96.67,96.67,89.5,77.01,90.39,75.61,18.31,13.83,22.19,6.79,37.6,93.59,95.72,68.14,119.04,88.14,103.31,50.9,15.17,0.15
